id,technique,description,params,epochs_trained,train_time_s,accuracy,precision_macro,recall_macro,f1_macro
C1,CNN,"CNN baseline, sem regularização","{'conv_filters': (32, 64, 128, 256), 'dense_units': 256, 'dropout_rate': 0.0, 'l2_reg': 0.0}",10,747.6,0.7913,0.8594,0.7913,0.7912
C2,CNN,CNN + Dropout (0.5),"{'conv_filters': (32, 64, 128, 256), 'dense_units': 256, 'dropout_rate': 0.5, 'l2_reg': 0.0}",10,633.3,0.8069,0.8524,0.8069,0.8113
C3,CNN,CNN + L2 (1e-4) + Data Augmentation,"{'conv_filters': (32, 64, 128, 256), 'dense_units': 256, 'dropout_rate': 0.0, 'l2_reg': 0.0001}",10,665.0,0.7488,0.8068,0.7488,0.7312
C4,CNN,CNN tuned: dropout + L2 + augmentation + mais filtros/neurônios,"{'conv_filters': (48, 96, 192, 384), 'dense_units': 384, 'dropout_rate': 0.3, 'l2_reg': 0.0001}",10,1225.3,0.8281,0.8411,0.8281,0.8201
V1,ViT,"ViT baseline, sem dropout","{'patch_size': 16, 'embed_dim': 128, 'num_heads': 8, 'num_layers': 8, 'mlp_dim': 256, 'dropout_rate': 0.0}",10,375.2,0.7688,0.7881,0.7687,0.7626
V2,ViT,ViT + Dropout (0.3) em atenção e MLP,"{'patch_size': 16, 'embed_dim': 128, 'num_heads': 8, 'num_layers': 8, 'mlp_dim': 256, 'dropout_rate': 0.3}",10,391.5,0.7225,0.7442,0.7225,0.7189
V3,ViT,ViT + weight decay (AdamW) + Data Augmentation,"{'patch_size': 16, 'embed_dim': 128, 'num_heads': 8, 'num_layers': 8, 'mlp_dim': 256, 'dropout_rate': 0.0}",10,312.1,0.7,0.6912,0.7,0.6791
V4,ViT,ViT tuned: dropout + weight decay + mais heads/layers,"{'patch_size': 16, 'embed_dim': 160, 'num_heads': 10, 'num_layers': 10, 'mlp_dim': 320, 'dropout_rate': 0.2}",10,596.6,0.6281,0.641,0.6281,0.6179
